"";"title";"first_name";"last_name";"full_name";"gender";"date_birth";"place_birth";"country_birth";"date_death";"religion";"family_stat";"occupation";"party";"time";"legislature";"elect_distr";"faction";"mandate_type"
"5203";"Dr.";"Egon Alfred";"Klepsch";"Dr. Egon Alfred Klepsch";"männlich";"30.01.1930";"Bodenbach / Elbe";NA;"18.09.2010";"katholisch";"verheiratet, 6 Kinder";"Dozent";"CDU";2;"6";"150";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5206";"Dr.";"Georg";"Kliesing";"Dr. Georg Kliesing";"männlich";"10.02.1911";"Bad Honnef";NA;"19.07.1992";"katholisch";"verheiratet, 2 Kinder";"Oberstudienrat a. D.";"CDU";2;"3";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5209";"";"Hans-Jürgen";"Klinker";"Hans-Jürgen Klinker";"männlich";"13.01.1921";"Ülsby";NA;"01.08.1988";"evangelisch";"ledig";"Landwirt";"CDU";2;"5";"8";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5210";"";"Ulrich";"Klinkert";"Ulrich Klinkert";"männlich";"23.05.1955";"Wittichenau";NA;NA;"katholisch";"verheiratet, 2 Kinder";"Dipl.-Ingenieur";"CDU";2;"12";"314";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5212";"";"Hans-Ulrich";"Klose";"Hans-Ulrich Klose";"männlich";"14.06.1937";"Breslau";NA;NA;"ohne Angaben";"verheiratet, 4 Kinder";"Vizepräsident DBT a. D., Jurist";"SPD";2;"11";"18";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5213";"Dr.";"Hans-Hinrich";"Knaape";"Dr. Hans-Hinrich Knaape";"männlich";"16.12.1934";"Güstrow / Mecklenburg";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Facharzt für Neurologie und Psychiatrie";"SPD";2;"13";"275";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5217";"";"Ludwig";"Knobloch";"Ludwig Knobloch";"männlich";"23.07.1901";"Ilbesheim";NA;"22.11.1995";"evangelisch";"verheiratet";"Landwirt";"CDU";2;"3";"159";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5219";"Dr.";"Friedrich";"Knorr";"Dr. Friedrich Knorr";"männlich";"10.11.1904";"Neustadt bei Koburg";NA;"01.04.1978";"evangelisch";"verheiratet, 3 Kinder";"Bibliotheksdirektor a. D.";"CSU";2;"4";"221";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5221";"";"Kurt";"Koblitz";"Kurt Koblitz";"männlich";"27.09.1916";"Waldenburg / Schlesien";NA;"13.10.1979";"ohne Angaben";"verwitwet, 1 Kind";"Angestellter";"SPD";2;"8";"54";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5223";"Dr.";"Gerhard";"Koch";"Dr. Gerhard Koch";"männlich";"22.08.1906";"Holtrup";NA;"22.01.1983";"evangelisch";"verheiratet, 2 Kinder";"Oberregierungsrat a. D.";"SPD";2;"5";"104";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5226";"Dr.";"Erich";"Köhler";"Dr. Erich Köhler";"männlich";"27.06.1892";"Erfurt";NA;"23.10.1958";"evangelisch";"keine Angaben";"Präsident DBT a.D., Wirtschaftsberater, Volkswirt";"CDU";2;"2";"135";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5227";"";"Hans-Ulrich";"Köhler";"Hans-Ulrich Köhler";"männlich";"03.09.1944";"Jena";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Maschinenbaumeister";"CDU";2;"12";"303";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5228";"Dr.";"Herbert W.";"Köhler";"Dr. Herbert W. Köhler";"männlich";"17.12.1919";"Peiskretscham / Oberschlesien";NA;"11.03.2001";"katholisch";"verheiratet";"Geschäftsführender Vorstand der Wirtschaftsvereinigung Eisen- und Stahlindustrie";"CDU";2;"8";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5230";"Dr.";"Volkmar";"Köhler";"Dr. Volkmar Köhler";"männlich";"20.05.1930";"Hannover";NA;"06.06.2012";"evangelisch";"verheiratet, 2 Kinder";"Angestellter, Parl. Staatsekretär a. D.";"CDU";2;"8";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5231";"";"Jakob";"Koenen";"Jakob Koenen";"männlich";"05.06.1907";"Lippstadt";NA;"16.01.1974";"katholisch";"verheiratet";"Polsterermeister und Dekorateur";"SPD";2;"3";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5232";"";"Willy";"Könen";"Willy Könen";"männlich";"08.04.1908";"Düsseldorf";NA;"28.06.1980";"evangelisch";"verheiratet";"Angestellter";"SPD";2;"2";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5234";"Dr.";"Wilhelm";"Königswarter";"Dr. Wilhelm Königswarter";"männlich";"30.08.1890";"Hannover";NA;"12.12.1966";"ohne Angaben";"keine Angaben";"Industriekaufmann";"SPD";2;"2";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5236";"";"Heinrich";"Köppler";"Heinrich Köppler";"männlich";"26.11.1925";"Hattenheim";NA;"20.04.1980";"katholisch";"verheiratet";"Jurist";"CDU";2;"6";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5238";"";"Fritz Rudolf";"Körper";"Fritz Rudolf Körper";"männlich";"14.11.1954";"Rehborn";NA;NA;"evangelisch";"verheiratet";"Theologe";"SPD";2;"13";"150";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5239";"";"Gottfried";"Köster";"Gottfried Köster";"männlich";"15.01.1928";"Rheine";NA;"27.11.2007";"katholisch";"verheiratet, 6 Kinder";"Oberstudienrat a. D.";"CDU";2;"7";"96";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5241";"Dr.";"Helmut";"Kohl";"Dr. Helmut Kohl";"männlich";"03.04.1930";"Ludwigshafen / Rhein";NA;"16.06.2017";"katholisch";"verwitwet, 2 Kinder";"Bundeskanzler a. D.";"CDU";2;"9";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5243";"";"Richard";"Kohlberger";"Richard Kohlberger";"männlich";"16.08.1911";"Augsburg";NA;"02.01.1990";"ohne Angaben";"verheiratet";"Geschäftsführer";"SPD";2;"5";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5244";"";"Roland";"Kohn";"Roland Kohn";"männlich";"25.03.1950";"Ludwigshafen / Rhein";NA;NA;"ohne Angaben";"verheiratet";"Publizist";"FDP";2;"11";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"5245";"Dr.";"Oswald Adolph";"Kohut";"Dr. Oswald Adolph Kohut";"männlich";"19.01.1901";"Berlin";NA;"23.07.1977";"ohne Angaben";"verheiratet, 1 Kind";"Fabrikant";"FDP";2;"4";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"5246";"";"Elmar";"Kolb";"Elmar Kolb";"männlich";"07.01.1936";"Bad Neustadt / Saale";NA;"13.05.2013";"katholisch";"verheiratet, 3 Kinder";"Industriekaufmann, Maschinenbauingenieur";"CDU";2;"9";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5247";"Dr.";"Heinrich L.";"Kolb";"Dr. Heinrich L. Kolb";"männlich";"08.01.1956";"Babenhausen / Hessen";NA;NA;"evangelisch";"verheiratet, 3 Kinder";"Dipl.-Wirtschaftsingenieur, Parl. Staatssekretär a. D.";"FDP";2;"13";"144";"Fraktion der Freien Demokratischen Partei";"Landesliste"
"5248";"";"Manfred";"Kolbe";"Manfred Kolbe";"männlich";"17.08.1953";"Naunhof / Krs. Grimma, Sachsen";NA;NA;"evangelisch";"3 Kinder";"Notar, Staatsminister a. D.";"CDU";2;"13";"312";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5251";"";"Walter";"Kolbow";"Walter Kolbow";"männlich";"27.04.1944";"Spittal / Drau";"Österreich";NA;"evangelisch";"verheiratet, 2 Kinder";"Verwaltungsjurist, Parl. Staatssekretär a. D.";"SPD";2;"10";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5252";"";"Rolf";"Koltzsch";"Rolf Koltzsch";"männlich";"16.07.1928";"Leipzig";NA;NA;"evangelisch";"verheiratet, 3 Kinder";"Versicherungskaufmann";"SPD";2;"12";"103";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5253";"";"Klaus";"Konrad";"Klaus Konrad";"männlich";"22.12.1914";"Berlin-Charlottenburg";NA;"15.08.2006";"evangelisch";"verheiratet, 3 Kinder";"Kreisverwaltungsdirektor a. D.";"SPD";2;"7";"8";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5255";"Dr.";"Hermann";"Kopf";"Dr. Hermann Kopf";"männlich";"29.05.1901";"Freiburg / Breisgau";NA;"05.05.1991";"katholisch";"verheiratet";"Rechtsanwalt";"CDU";2;"4";"186";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5256";"Dr. h. c.";"Jürgen";"Koppelin";"Dr. h. c. Jürgen Koppelin";"männlich";"14.09.1945";"Wesselburen / Dithmarschen";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Rundfunk-Redakteur";"FDP";2;"13";"6";"Fraktion der Freien Demokratischen Partei";"Landesliste"
"5258";"";"Eva-Maria";"Kors";"Eva-Maria Kors";"weiblich";"22.05.1942";"Würzburg";NA;NA;"katholisch";"verheiratet, 1 Kind";"Redakteurin";"CDU";2;"13";"23";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5259";"";"Lisa";"Korspeter";"Lisa Korspeter";"weiblich";"31.01.1900";"Großörner Krs. Mansfeld";NA;"08.10.1992";"ohne Angaben";"verheiratet";"Jugendfürsorgerin, Hausfrau";"SPD";2;"1";"16";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5261";"";"Hans";"Koschnick";"Hans Koschnick";"männlich";"02.04.1929";"Bremen";NA;"21.04.2016";"evangelisch";"verheiratet, 1 Kind";"Bürgermeister a. D.";"SPD";2;"12";"51";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5262";"";"Hartmut";"Koschyk";"Hartmut Koschyk";"männlich";"16.04.1959";"Forchheim / Oberfranken";NA;NA;"römisch-katholisch";"verheiratet, 3 Kinder";"Geschäftsführer, PSts a. D.";"CSU";2;"13";"223";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5263";"";"Manfred";"Koslowski";"Manfred Koslowski";"männlich";"18.01.1942";"Falkensee / Osthavelland";NA;"08.07.2008";"katholisch";"verheiratet, 2 Kinder";"Dipl.-Ingenieur";"CDU";2;"13";"272";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5264";"";"Thomas";"Kossendey";"Thomas Kossendey";"männlich";"04.03.1948";"Berlin";NA;NA;"römisch-katholisch";"verheiratet, 1 Kind";"Jurist, RegDir. a. D. Parl. Staatssekretär";"CDU";2;"12";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5267";"";"Waldemar";"Kraft";"Waldemar Kraft";"männlich";"19.02.1898";"Brustow";NA;"12.07.1977";"evangelisch";"keine Angaben";"Bundesminister a. D.";"CDU";2;"3";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5269";"";"Lothar";"Krall";"Lothar Krall";"männlich";"15.01.1924";"Winningen";NA;"24.12.2000";"evangelisch";"verheiratet, 2 Kinder";"Oberst d. R.";"FDP";2;"7";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"5270";"";"Angelo";"Kramel";"Angelo Kramel";"männlich";"28.01.1903";"Cham";NA;"30.06.1975";"katholisch";"keine Angaben";"Oberregierungsrat";"CSU";2;"3";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5271";"";"Karl";"Krammig";"Karl Krammig";"männlich";"14.06.1908";"Mülhausen / Elsaß";NA;"16.06.1991";"katholisch";"verheiratet, 8 Kinder";"Steuerbevollmächtigter, Senator a. D., Zollrat a. D.";"CDU";2;"2";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5272";"";"Wilhelm";"Krampe";"Wilhelm Krampe";"männlich";"05.05.1925";"Herbern";NA;"12.02.1986";"katholisch";"verheiratet, 3 Kinder";"Diözesansekretär";"CDU";2;"6";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5273";"";"Edith";"Krappe";"Edith Krappe";"weiblich";"13.11.1909";"Berlin";NA;"17.03.2006";"ohne Angaben";"keine Angaben";"Buchhalterin";"SPD";2;"4";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5274";"Dr.";"Konrad";"Kraske";"Dr. Konrad Kraske";"männlich";"05.06.1926";"Berlin";NA;"16.11.2016";"evangelisch";"verheiratet, 1 Kind";"Geschäftsführer";"CDU";2;"6";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5275";"";"Paul";"Kratz";"Paul Kratz";"männlich";"13.03.1921";"Eschweiler / Krs. Aachen";NA;"04.06.1994";"ohne Angaben";"verheiratet, 2 Kinder";"Gewerkschaftssekretär";"SPD";2;"8";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5277";"";"Friedrich";"Kraus";"Friedrich Kraus";"männlich";"26.10.1903";"Barmen";NA;"21.02.1969";"ohne Angaben";"verheiratet, 2 Kinder";"Modellschreiner";"SPD";2;"4";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5278";"";"Rudolf";"Kraus";"Rudolf Kraus";"männlich";"27.02.1941";"Amberg / Oberpfalz";NA;"18.05.2018";"katholisch";"verheiratet, 2 Kinder";"Baukaufmann, Parl. Staatssekretär a. D.";"CSU";2;"8";"206";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5279";"Dr.";"Günther";"Krause";"Dr. Günther Krause";"männlich";"13.09.1953";"Halle / Saale";NA;NA;"evangelisch";"verheiratet, 3 Kinder";"Professor, Dipl.-Bauingenieur, Bundesminister a. D";"CDU";2;"12";"262";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5282";"";"Wolfgang";"Krause";"Wolfgang Krause";"männlich";"04.02.1936";"Breslau";NA;NA;"evangelisch";"verheiratet";"Dipl.-Ingenieur";"CDU";2;"12";"289";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5285";"Dr.";"Reinhold";"Kreile";"Dr. Reinhold Kreile";"männlich";"01.12.1929";"Aschaffenburg";NA;NA;"evangelisch";"verheiratet";"Professor, Rechtsanwalt und Fachanwalt für Steuerrecht";"CSU";2;"7";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5286";"";"Reinhold";"Kreitmeyer";"Reinhold Kreitmeyer";"männlich";"23.07.1908";"München";NA;"16.02.1996";"evangelisch";"verheiratet, 3 Kinder";"Oberst a. D.";"FDP";2;"4";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"5287";"";"Volkmar";"Kretkowski";"Volkmar Kretkowski";"männlich";"23.06.1938";"Duisburg";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Realschuldirektor a. D.";"SPD";2;"9";"79";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5288";"Dr.";"Heinz";"Kreutzmann";"Dr. Heinz Kreutzmann";"männlich";"23.09.1919";"Darmstadt";NA;"14.11.2005";"evangelisch";"verheiratet, 3 Kinder";"Regierungsdirektor a. D.";"SPD";2;"6";"129";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5290";"";"Franz Heinrich";"Krey";"Franz Heinrich Krey";"männlich";"18.02.1930";"Bergisch Gladbach";NA;"10.05.2017";"katholisch";"verheiratet, 2 Kinder";"Journalist";"CDU";2;"9";"67";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5291";"Dr.";"Gerhard";"Kreyssig";"Dr. Gerhard Kreyssig";"männlich";"25.12.1899";"Crossen";NA;"14.10.1982";"ohne Angaben";"keine Angaben";"Volkswirtschaftler";"SPD";2;"2";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5292";"";"Herbert";"Kriedemann";"Herbert Kriedemann";"männlich";"01.03.1903";"Berlin";NA;"20.01.1977";"ohne Angaben";"verheiratet";"Angestellter, Landwirt";"SPD";2;"2";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5293";"";"Arnulf";"Kriedner";"Arnulf Kriedner";"männlich";"16.05.1938";"Mühlbach / Pirna";NA;NA;"evangelisch";"geschieden";"Unternehmensberater, Bezirksbürgermeister a. D.";"CDU";2;"13";"306";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5297";"";"Horst";"Krockert";"Horst Krockert";"männlich";"17.02.1924";"Wriezen / Mark Brandenburg";NA;"26.05.2015";"ohne Angaben";"verheiratet, 3 Kinder";"Pfarrer i. R.";"SPD";2;"6";"138";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5298";"";"Ludwig";"Kroll";"Ludwig Kroll";"männlich";"16.07.1915";"Baden-Baden";NA;"14.09.1989";"evangelisch";"verheiratet, 3 Kinder";"Buchhändler";"CDU";2;"3";"189";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5299";"";"Hermann";"Kroll-Schlüter";"Hermann Kroll-Schlüter";"männlich";"01.03.1939";"Belecke";NA;NA;"katholisch";"verheiratet, 3 Kinder";"Landwirt";"CDU";2;"8";"120";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5300";"";"Heinz-Jürgen";"Kronberg";"Heinz-Jürgen Kronberg";"männlich";"15.06.1959";"Erfurt / Thüringen";NA;NA;"evangelisch";"getrennt lebend, 2 Kinder";"Sozialarbeiter";"CDU";2;"13";"301";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5301";"Dr.";"Heinrich";"Krone";"Dr. Heinrich Krone";"männlich";"01.12.1895";"Hessisch-Oldendorf";NA;"15.08.1989";"katholisch";"verheiratet";"Bundesminister für die Angelegenheiten des Bundesverteidigungsrates";"CDU";2;"2";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5302";"";"Ursula";"Krone-Appuhn";"Ursula Krone-Appuhn";"weiblich";"25.09.1936";"Nordhausen / Thüringen";NA;"17.12.1988";"katholisch";"verheiratet, 4 Kinder";"Hausfrau";"CSU";2;"10";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5303";"Dr.";"Friedrich";"Kronenberg";"Dr. Friedrich Kronenberg";"männlich";"16.02.1933";"Gelsenkirchen";NA;NA;"katholisch";"verheiratet, 3 Kinder";"Dipl.-Volkswirt, Generalsekretär";"CDU";2;"11";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5305";"";"Hans";"Krüger";"Hans Krüger";"männlich";"06.07.1902";"Neustettin";NA;"03.11.1971";"evangelisch";"verheiratet, 2 Kinder";"Rechtsanwalt und Notar";"CDU";2;"4";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5306";"Dr.";"Paul";"Krüger";"Dr. Paul Krüger";"männlich";"07.03.1950";"Güstrow / Mecklenburg, Bez. Schwerin";NA;NA;"katholisch";"verheiratet, 2 Kinder";"Dipl.-Ingenieur";"CDU";2;"12";"269";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5308";"";"Georg";"Krug";"Georg Krug";"männlich";"06.08.1906";"Altusried";NA;"02.12.1989";"katholisch";"verheiratet, 8 Kinder";"Landwirt, Bürgermeister";"CSU";2;"4";"241";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5309";"";"Reiner";"Krziskewitz";"Reiner Krziskewitz";"männlich";"19.09.1942";"Oschersleben";NA;NA;"katholisch";"verheiratet, 4 Kinder";"Buchhändler";"CDU";2;"13";"290";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5310";"";"Horst";"Kubatschka";"Horst Kubatschka";"männlich";"10.06.1941";"Bielitz";NA;NA;"evangelisch";"verheiratet, 3 Kinder";"Chemieingenieur";"SPD";2;"13";"214";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5311";"";"Wolfgang";"Kubicki";"Wolfgang Kubicki";"männlich";"03.03.1952";"Braunschweig";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Rechtsanwalt, Diplom-Volkswirt";"FDP";2;"15";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"5312";"";"Werner";"Kubitza";"Werner Kubitza";"männlich";"05.02.1919";"Breslau";NA;"02.11.1995";"evangelisch";"verheiratet, 5 Kinder";"Studienprofessor";"FDP";2;"5";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"5313";"Dr.";"Edeltraud";"Kuchtner";"Dr. Edeltraud Kuchtner";"weiblich";"20.12.1907";"München";NA;"20.05.2002";"katholisch";"keine Angaben";"Rechtskundige Verwaltungsdirektorin a. D.";"CSU";2;"3";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5314";"Dr.";"Klaus";"Kübler";"Dr. Klaus Kübler";"männlich";"21.04.1936";"Stettin";NA;"07.12.2007";"evangelisch";"verheiratet, 2 Kinder";"Vizepräsident des Bundesgesundheitsamtes a. D.";"SPD";2;"10";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5315";"Dr.";"Paul";"Kübler";"Dr. Paul Kübler";"männlich";"30.12.1922";"Mannheim";NA;"09.08.1969";"evangelisch";"verheiratet, 2 Kinder";"Studienrat";"SPD";2;"5";"180";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5316";"";"Klaus-Dieter";"Kühbacher";"Klaus-Dieter Kühbacher";"männlich";"30.10.1943";"Heerlen";"Niederlande";NA;"katholisch";"verheiratet, 3 Kinder";"Stadtamtmann a. D.";"SPD";2;"9";"45";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5318";"";"Knut";"Kühlmann-Stumm";"Knut Kühlmann-Stumm";"männlich";"17.10.1916";"München";NA;"19.01.1977";"evangelisch";"verheiratet, 3 Kinder";"Land- und Forstwirt";"FDP";2;"4";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"5319";"";"Walter";"Kühlthau";"Walter Kühlthau";"männlich";"16.08.1906";"Essen";NA;"27.11.1978";"evangelisch";"verheiratet";"Stadtkämmerer";"CDU";2;"3";"89";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5320";"";"Friedrich";"Kühn";"Friedrich Kühn";"männlich";"13.07.1907";"Bad Lippspringe";NA;"12.06.1979";"evangelisch";"verheiratet, 4 Kinder";"Geschäftsführer";"CDU";2;"5";"43";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5321";"";"Heinz";"Kühn";"Heinz Kühn";"männlich";"18.02.1912";"Köln";NA;"12.03.1992";"ohne Angaben";"verheiratet";"Journalist";"SPD";2;"3";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5322";"";"Walther";"Kühn";"Walther Kühn";"männlich";"27.12.1892";"Posen";NA;"04.12.1962";"evangelisch";"verheiratet";"Regierungspräsident a. D.";"FDP";2;"2";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"5324";"";"Hinrich";"Kuessner";"Hinrich Kuessner";"männlich";"29.04.1943";"Gerdauen / Ostpreußen";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Theologe";"SPD";2;"12";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5325";"Dr.";"Uwe";"Küster";"Dr. Uwe Küster";"männlich";"14.07.1945";"Magdeburg / Sachsen-Anhalt";NA;"26.10.2014";"ohne Angaben";"verheiratet, 3 Kinder";"Biochemiker, Immunologe";"SPD";2;"13";"286";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5328";"";"Eckart";"Kuhlwein";"Eckart Kuhlwein";"männlich";"11.04.1938";"Schleswig";NA;NA;"ohne Angaben";"verheiratet, 4 Kinder";"Journalist, Diplom-Volkswirt";"SPD";2;"9";"10";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"5329";"";"Alwin";"Kulawig";"Alwin Kulawig";"männlich";"17.01.1926";"Klarenthal-Krughütte";NA;"19.10.2003";"ohne Angaben";"verheiratet, 1 Kind";"Optiker";"SPD";2;"7";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5331";"";"Ernst";"Kuntscher";"Ernst Kuntscher";"männlich";"07.01.1899";"Bautsch / Sudetenland";NA;"10.10.1971";"katholisch";"verheiratet";"Angestellter";"CDU";2;"2";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5332";"";"Gerhard";"Kunz";"Gerhard Kunz";"männlich";"11.02.1942";"Komotau";NA;NA;"katholisch";"verheiratet, 5 Kinder";"Rechtsanwalt";"CDU";2;"7";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"5334";"Prof. Dr.";"Max";"Kunz";"Prof. Dr. Max Kunz";"männlich";"25.06.1929";"Groppenheim / Landkrs. Tirschenreuth";NA;NA;"katholisch";"verheiratet, 3 Kinder";"Honorarprofessor, Landwirtschaftsdirektor a. D.";"CSU";2;"8";"221";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5335";"";"Johannes";"Kunze";"Johannes Kunze";"männlich";"06.06.1892";"Wuppertal-Barmen";NA;"11.10.1959";"evangelisch";"verheiratet";"Diplom Kaufmann, Verwaltungsdirektor i. R.";"CDU";2;"2";"119";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"5337";"";"Georg";"Kurlbaum";"Georg Kurlbaum";"männlich";"02.05.1902";"Berlin";NA;"23.12.1988";"ohne Angaben";"verheiratet";"Dipl.-Ingenieur";"SPD";2;"2";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"5341";"Prof. Dr. - Ing.";"Karl-Hans";"Laermann";"Prof. Dr. - Ing. Karl-Hans Laermann";"männlich";"26.12.1929";"Kaulhausen / Krs. Erkelenz";NA;NA;"ohne Angaben";"keine Angaben";"Bauingenieur";"FDP";2;"8";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
