"";"title";"first_name";"last_name";"full_name";"gender";"date_birth";"place_birth";"country_birth";"date_death";"religion";"family_stat";"occupation";"party";"time";"legislature";"elect_distr";"faction";"mandate_type"
"3083";"Dr.";"Kristina";"Köhler";"Dr. Kristina Köhler";"weiblich";"03.08.1977";"Wiesbaden";NA;NA;"evangelisch-lutherisch";"verheiratet, 2 Kinder";"Dipl.-Soziologin, Bundesministerin a. D.";"CDU";1;"15";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3084";"";"Rolf";"Kramer";"Rolf Kramer";"männlich";"09.12.1949";"Barenburg / Landkreis Diepholz";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Berufsschullehrer, Diplom-Ingenieur";"SPD";1;"15";"34";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3085";"";"Ernst";"Kranz";"Ernst Kranz";"männlich";"28.06.1950";"Gerstungen";NA;NA;"ohne Angaben";"verheiratet, 3 Kinder";"Dipl.-Ingenieur";"SPD";1;"15";"191";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3086";"";"Michael";"Kretschmer";"Michael Kretschmer";"männlich";"07.05.1975";"Görlitz";NA;NA;"evangelisch";"2 Kinder";"Dipl.-Wirtschaftsingenieur (FH), Ministerpräsident";"CDU";1;"15";"157";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3087";"";"Gunther";"Krichbaum";"Gunther Krichbaum";"männlich";"04.05.1964";"Korntal";NA;NA;"evangelisch";"verheiratet, 3 Kinder";"Wirtschaftsjurist";"CDU";1;"15";"280";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3088";"Dr.";"Günter";"Krings";"Dr. Günter Krings";"männlich";"07.08.1969";"Rheydt";NA;NA;"evangelisch-reformiert";NA;"Volljurist, Parl. Staatssekretär";"CDU";1;"15";"110";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3089";"Dr.";"Hans-Ulrich";"Krüger";"Dr. Hans-Ulrich Krüger";"männlich";"07.04.1952";"Lemgo";NA;NA;"evangelisch-reformiert";"verheiratet, 3 Kinder";"Staatssekretär im Ministerium für Inneres und Kommunales NRW a.D.";"SPD";1;"15";"114";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3090";"";"Renate";"Künast";"Renate Künast";"weiblich";"15.12.1955";"Recklinghausen";NA;NA;"ohne Angaben";"verheiratet";"Rechtsanwältin, Sozialarbeiterin, Bundesministerin a.D., Fraktionsvorsitzende a. D.";"BÜNDNIS 90/DIE GRÜNEN";1;"15";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3091";"";"Fritz";"Kuhn";"Fritz Kuhn";"männlich";"29.06.1955";"Bad Mergentheim";NA;NA;"ohne Angaben";"verheiratet, 2 Kinder";"Sprachwissenschaftler, Stellvertretender Fraktionsvorsitzender";"BÜNDNIS 90/DIE GRÜNEN";1;"15";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3092";"";"Markus";"Kurth";"Markus Kurth";"männlich";"14.04.1966";"Bonn / Beuel";NA;NA;"römisch-katholisch";"ledig, 1 Kind";"Politologe";"BÜNDNIS 90/DIE GRÜNEN";1;"15";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3093";"";"Undine";"Kurth";"Undine Kurth";"weiblich";"01.09.1951";"Tanndorf / Sachsen";NA;NA;"ohne Angaben";"verheiratet";"Diplom-Innenarchitektin";"BÜNDNIS 90/DIE GRÜNEN";1;"15";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3094";"";"Sibylle";"Laurischk";"Sibylle Laurischk";"weiblich";"12.12.1954";"Offenburg";NA;NA;"evangelisch";"geschieden, 3 Kinder";"Rechtsanwältin";"FDP";1;"15";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"3095";"";"Harald";"Leibrecht";"Harald Leibrecht";"männlich";"14.10.1961";"Evanston";"USA";NA;"evangelisch-lutherisch";"verheiratet, 4 Kinder";"Geschäftsführer";"FDP";1;"15";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"3096";"";"Patricia";"Lips";"Patricia Lips";"weiblich";"21.12.1963";"Mailand";"Italien";NA;"römisch-katholisch";NA;"Handelsfachwirtin";"CDU";1;"15";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3097";"";"Markus";"Löning";"Markus Löning";"männlich";"02.07.1960";"Meppen / Ems";NA;NA;"ohne Angaben";"verheiratet, 3 Kinder";"Selbstständig";"FDP";1;"15";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"3098";"Dr.";"Gesine";"Lötzsch";"Dr. Gesine Lötzsch";"weiblich";"07.08.1961";"Berlin";NA;NA;"ohne Angaben";"verwitwet, 2 Kinder";"Philologin";"DIE LINKE.";1;"15";"87";"Fraktionslos";"Direktwahl"
"3099";"";"Anna";"Lührmann";"Anna Lührmann";"weiblich";"14.06.1983";"Lich";NA;NA;"ohne Angaben";"verheiratet, 1 Kind";"Politikwissenschaftlerin";"BÜNDNIS 90/DIE GRÜNEN";1;"15";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3100";"";"Dorothee";"Mantel";"Dorothee Mantel";"weiblich";"19.04.1978";"Bamberg";NA;NA;"römisch-katholisch";"verheiratet, 3 Kinder";"Diplom-Politologin, Staatsministerin";"CSU";1;"15";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3101";"";"Caren";"Marks";"Caren Marks";"weiblich";"25.09.1963";"Bad Pyrmont";NA;NA;"evangelisch-lutherisch";"2 Kinder";"Dipl.-Geographin, Parl. Staatssekretärin";"SPD";1;"15";"43";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3102";"";"Hilde";"Mattheis";"Hilde Mattheis";"weiblich";"06.10.1954";"Finnentrop";NA;NA;"römisch-katholisch";"verheiratet, 2 Kinder";"Hauptschullehrerin";"SPD";1;"18";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"3103";"";"Stephan";"Mayer";"Stephan Mayer";"männlich";"15.12.1973";"Burghausen";NA;NA;"katholisch";"ledig";"Rechtsanwalt, Parl. Staatssekretär";"CSU";1;"15";"215";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3104";"Dr.";"Conny";"Mayer";"Dr. Conny Mayer";"weiblich";"18.01.1972";"Forbach";NA;NA;"evangelisch";"keine Angaben";"City-Managerin, M. A.";"CDU";1;"15";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3105";"";"Petra";"Merkel";"Petra Merkel";"weiblich";"18.09.1947";"Berlin";NA;NA;"evangelisch";"geschieden, 1 Kind";"Kaufmännische Angestellte";"SPD";1;"15";"81";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3106";"";"Laurenz";"Meyer";"Laurenz Meyer";"männlich";"15.02.1948";"Salzkotten / Kreis Büren";NA;NA;"römisch-katholisch";"verheiratet, 4 Kinder";"Diplom-Volkswirt";"CDU";1;"15";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3107";"";"Doris";"Meyer";"Doris Meyer";"weiblich";"10.06.1957";"Tapfheim / Donau-Ries";NA;"22.01.2012";"evangelisch-lutherisch";"ledig";"Müllermeisterin, Müllereitechnikerin";"CSU";1;"15";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3108";"";"Klaus";"Minkel";"Klaus Minkel";"männlich";"26.04.1948";"Münden";NA;NA;"evangelisch-reformiert";"verheiratet, 1 Kind";"Geschäftsführer";"CDU";1;"15";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3109";"";"Jerzy";"Montag";"Jerzy Montag";"männlich";"13.02.1947";"Kattowitz";NA;NA;"ohne Angaben";"verheiratet, 2 Kinder";"Rechtsanwalt";"BÜNDNIS 90/DIE GRÜNEN";1;"15";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3110";"";"Marlene";"Mortler";"Marlene Mortler";"weiblich";"16.10.1955";"Lauf a. d. Pegnitz";NA;NA;"evangelisch";"verwitwet, 3 Kinder";"Meisterin der ländlichen Hauswirtschaft, MdEP";"CSU";1;"15";"247";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3111";"";"Stefan";"Müller";"Stefan Müller";"männlich";"03.09.1975";"Neustadt a. d. Aisch";NA;NA;"römisch-katholisch";"verheiratet, 1 Kind";"Bankfachwirt, Parl. Staatssekretär";"CSU";1;"15";"243";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3112";"";"Hildegard";"Müller";"Hildegard Müller";"weiblich";"29.06.1967";"Rheine / Steinfurt";NA;NA;"römisch-katholisch";"1 Kind";"Dipl.-Kauffrau, Staatsministerin a. D.";"CDU";1;"15";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3113";"Dr.";"Rolf";"Mützenich";"Dr. Rolf Mützenich";"männlich";"25.06.1959";"Köln";NA;NA;"ohne Angaben";"verheiratet, 2 Kinder";"Politikwissenschaftler";"SPD";1;"15";"96";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3114";"";"Gesine";"Multhaupt";"Gesine Multhaupt";"weiblich";"19.05.1963";"Leer";NA;NA;"evangelisch";"keine Angaben";"Lehrerin";"SPD";1;"15";"28";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3115";"";"Henry";"Nitzsche";"Henry Nitzsche";"männlich";"04.04.1959";"Kamenz";NA;NA;"evangelisch-lutherisch";"verheiratet, 4 Kinder";"Töpfer, Forstfacharbeiter, Verwaltungs-Betriebswirt (Diplom VWA)";"Plos";1;"15";"156";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3116";"Dr.";"Georg";"Nüßlein";"Dr. Georg Nüßlein";"männlich";"10.04.1969";"Krumbach";NA;NA;"römisch-katholisch";NA;"Diplom Kaufmann";"CSU";1;"15";"256";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3117";"Dr.";"Erika";"Ober";"Dr. Erika Ober";"weiblich";"30.10.1950";"Saarbrücken";NA;NA;"ohne Angaben";"verheiratet, 2 Kinder";"Frauenärztin";"SPD";1;"15";"188";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3118";"";"Friedrich";"Ostendorff";"Friedrich Ostendorff";"männlich";"12.01.1953";"Dortmund";NA;NA;"evangelisch-lutherisch";"verheiratet, 1 Kind";"Landwirt";"BÜNDNIS 90/DIE GRÜNEN";1;"15";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3119";"";"Eberhard";"Otto";"Eberhard Otto";"männlich";"14.06.1948";"Neu-Lübstorf";NA;NA;"ohne Angaben";"verheiratet, 3 Kinder";"Bootsmann, Dipl.-Staatswiss., Selbst. Unternehmer";"FDP";1;"15";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"3120";"";"Heinz";"Paula";"Heinz Paula";"männlich";"24.04.1951";"Burgheim, Kreis Neuburg / Donau";NA;NA;"ohne Angaben";"verheiratet";"Lehrer";"SPD";1;"15";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"3121";"";"Rita";"Pawelski";"Rita Pawelski";"weiblich";"29.10.1948";"Rössing / Kreis Springe";NA;NA;"römisch-katholisch";"verheiratet, 2 Kinder";"Sparkassenangestellte, Journalistin";"CDU";1;"15";"41";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3122";"Dr.";"Joachim";"Pfeiffer";"Dr. Joachim Pfeiffer";"männlich";"25.04.1967";"Mutlangen";NA;NA;"evangelisch";"verheiratet, 3 Kinder";"Diplom Kaufmann";"CDU";1;"15";"265";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3123";"";"Sibylle";"Pfeiffer";"Sibylle Pfeiffer";"weiblich";"16.10.1951";"Wetzlar";NA;NA;"evangelisch";"geschieden, 2 Kinder";"ehemalige Geschäftsführerin in einem mittelständischen Familienunternehmen";"CDU";1;"15";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3124";"Prof. Dr.";"Andreas";"Pinkwart";"Prof. Dr. Andreas Pinkwart";"männlich";"18.08.1960";"Seelscheid";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Universitätsprofessor";"FDP";1;"15";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"3125";"Dr.";"Wilhelm";"Priesmeier";"Dr. Wilhelm Priesmeier";"männlich";"25.07.1954";"Rahden / Westfalen";NA;NA;"evangelisch-lutherisch";"verheiratet, 4 Kinder";"Tierarzt";"SPD";1;"15";"52";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3126";"";"Florian";"Pronold";"Florian Pronold";"männlich";"28.12.1972";"Passau";NA;NA;"konfessionslos";"verheiratet";"Rechtsanwalt, Parl. Staatssekretär";"SPD";1;"15";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"3127";"";"Daniela";"Raab";"Daniela Raab";"weiblich";"07.07.1975";"München";NA;NA;"römisch-katholisch";"verheiratet, 2 Kinder";"Juristin";"CSU";1;"15";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
